Firstname	nconst	tconst	rating	imdbid	id	title	year	directors	writers	averageRating	numVotes	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	Lastname	birthYear	deathYear	primaryProfession	knownForTitles	name	proportion_male	proportion_female	gender	year_min	year_max
Aaron	nm0773689	tt1194263	1	1194263	2273	Get Low	2009	nm0773689	nm0699046,nm2057149,nm3015337	7.1	20182	movie	Get Low	Get Low	0	2009	\N	103	Drama,Mystery	Schneider	NA	\N	cinematographer,camera_department,director	tt0124879,tt1194263,tt0120338,tt0119468	Aaron	0.9907	0.0093	male	1880	1992
Abbas	nm0452102	tt0301978	3	0301978	1456	Ten	2002	nm0452102	nm0452102	7.5	5837	movie	Ten	Dah	0	2002	\N	94	Drama	Kiarostami	1940	2016	director,writer,editor	tt1020773,tt0120265,tt0100234,tt0209463	Abbas	1	0	male	1880	1992
Abbas	nm0452102	tt0100234	1	0100234	3561	Close-Up	1990	nm0452102	nm0452102	8.3	10733	movie	Close-Up	Nema-ye Nazdik	0	1990	\N	98	Biography,Crime,Documentary	Kiarostami	1940	2016	director,writer,editor	tt1020773,tt0120265,tt0100234,tt0209463	Abbas	1	0	male	1880	1992
Abbas	nm0452102	tt0120265	0	0120265	1810	Taste of Cherry	1997	nm0452102	nm0452102	7.7	17091	movie	Taste of Cherry	Ta'm e guilass	0	1997	\N	95	Drama	Kiarostami	1940	2016	director,writer,editor	tt1020773,tt0120265,tt0100234,tt0209463	Abbas	1	0	male	1880	1992
Abel	nm0304098	tt0018192	2	0018192	1312	Abel Gance&#39;s Napoleon	1927	nm0304098	nm0304098	7.5	5885	movie	Napoleon	Napoléon vu par Abel Gance	0	1927	\N	240	Biography,Drama,History	Gance	1889	1981	writer,director,actor	tt0057988,tt0018192,tt0014417,tt0034575	Abel	0.9968	0.0032	male	1880	1992
Abel	nm0001206	tt0112288	3	0112288	2684	Addiction, The	1995	nm0001206	nm0820669	6.4	7221	movie	The Addiction	The Addiction	0	1995	\N	82	Horror	Ferrara	1951	\N	director,writer,soundtrack	tt0106452,tt0103759,tt0116378,tt0099939	Abel	0.9968	0.0032	male	1880	1992
Abel	nm0304098	tt0013845	0	0013845	6209	Help!	1924	nm0304098	nm0304098,nm0511729	6.9	277	short	Help!	Au secours!	0	1924	\N	18	Comedy,Horror,Mystery	Gance	1889	1981	writer,director,actor	tt0057988,tt0018192,tt0014417,tt0034575	Abel	0.9968	0.0032	male	1880	1992
Abel	nm0001206	tt0116378	3	0116378	7051	Funeral, The	1996	nm0001206	nm0820669	6.6	7375	movie	The Funeral	The Funeral	0	1996	\N	99	Crime,Drama	Ferrara	1951	\N	director,writer,soundtrack	tt0106452,tt0103759,tt0116378,tt0099939	Abel	0.9968	0.0032	male	1880	1992
Abel	nm0001206	tt0106452	3	0106452	5521	Body Snatchers	1993	nm0001206	nm0278277,nm0162888,nm0169540,nm0002340,nm0660016,nm0820669	5.9	14570	movie	Body Snatchers	Body Snatchers	0	1993	\N	87	Horror,Sci-Fi	Ferrara	1951	\N	director,writer,soundtrack	tt0106452,tt0103759,tt0116378,tt0099939	Abel	0.9968	0.0032	male	1880	1992
Abel	nm0001206	tt0082776	3	0082776	972	Ms. 45	1981	nm0001206	nm0820669	6.8	6326	movie	Ms .45	Ms .45	0	1981	\N	80	Crime,Drama,Thriller	Ferrara	1951	\N	director,writer,soundtrack	tt0106452,tt0103759,tt0116378,tt0099939	Abel	0.9968	0.0032	male	1880	1992
Adam	nm1697112	tt1323045	1	1323045	3676	Frozen	2010	nm1697112	nm1697112	6.2	58536	movie	Frozen	Frozen	0	2010	\N	93	Drama,Thriller	Green	1975	\N	writer,producer,director	tt0422401,tt1323045,tt2014681,tt1991031	Adam	0.9954	0.0046	male	1880	1992
